# 新日本製鉄・株価（終値）
# 2006年1月4日から12月10日
NITTETSU
431
426
422
418
419
418
411
408
406
392
405
415
405
408
415
420
429
431
434
442
438
434
435
438
425
422
416
406
412
415
416
418
417
427
432
434
442
465
467
472
453
457
461
468
458
459
458
458
457
459
452
458
459
462
458
462
463
460
456
462
456
455
453
443
440
447
445
440
428
432
429
425
434
429
434
432
424
424
431
425
420
425
426
432
437
428
422
418
420
410
428
415
424
419
410
423
417
428
431
429
419
422
428
427
420
401
382
391
392
377
389
390
405
401
399
399
411
410
417
425
417
425
433
435
432
440
436
443
449
455
458
455
443
429
444
454
449
436
444
443
445
453
446
452
460
460
457
455
462
469
473
470
473
470
470
484
481
479
492
491
492
489
495
498
491
490
496
499
509
507
501
506
498
490
483
490
486
488
484
482
474
469
463
479
487
486
494
486
477
489
495
498
486
490
493
495
495
493
493
497
495
492
493
495
488
476
476
478
478
486
493
491
489
494
488
491
491
491
487
478
480
487
487
489
501
506
520
521
528
534
543
544
548
570
560
561
563
564
580
574
598
601
614
611
642
643
677
684
664
628
649
626
627
631
642
650
656
656
650
666
695
692
684
704
711
704
712
724
723
712
729
731
714
722
728
734
733
738
765
785
805
801
821
841
836
805
817
849
796
862
853
891
880
887
868
835
857
836
835
829
866
863
863
873
855
838
828
791
808
817
791
790
784
806
808
816
794
792
786
793
783
769
769
759
746
785
776
797
812
852
857
880
876
871
872
859
863
862
836
856
864
845
842
833
843
847
853
851
875
885
879
884
879
865
855
856
863
873
883
883
879
872
882
881
874
873
860
855
868
878
874
868
862
860
866
863
854
850
859
870
878
919
955
958
939
931
904
884
918
900
881
889
894
900
884
858
857
826
824
835
824
793
714
745
777
763
808
805
804
805
793
791
812
824
815
800
814
789
764
770
760
760
776
760
794
805
822
825
827
837
827
824
835
859
850
851
846
839
850
847
857
840
820
820
798
772
770
773
763
769
787
777
759
760
743
713
738
722
704
679
645
646
676
676
659
629
644
613
612
629
611
616
632
665
673
655
640
649
666
664
