# 家計調査・二人以上世帯（農林漁家世帯を含む）全世帯・消費支出(単位円）
# 2000年1月から2004年12月（月次データ）
Cons
309621
290663
335341
335276
308566
297648
326480
309993
296457
309193
297144
391556
308912
293698
339910
318509
300346
286054
314251
302474
283973
305653
294929
359940
305221
273487
330380
320228
291968
289427
315699
298788
295423
304989
289126
356702
298734
270619
321847
315074
287172
291742
302444
302283
287699
299754
289498
355228
301275
284916
322091
325593
299964
283000
302616
301059
284946
296794
287806
345643
