#民間企業設備投資（実質・季節調整値）1990年基準(10億円)
#１955年4-6月から2001年1-3月
IP
2067.8
2164.2
2414.1
2505.4
2786.3
3014.3
3492.5
3414.2
3887.2
4052.4
3740.2
3749.4
3682.8
3787.4
3809.7
4099.3
4480.1
4629.1
5234.5
6060.6
6228
6913.7
7403.2
7888
8186.1
8734.4
9204.7
8986.2
9134.9
9069.2
9026.7
9205
9552.8
9812.6
10574
10992.2
11363.9
11900
11956.9
11589.4
10883.4
10718.5
10503.1
10826.5
12253.5
13091.7
13644.2
14458.7
15539.3
16483.8
17616.6
18366
19199
19826.4
21728.5
21454.2
24265.2
25888.6
27662.3
29029.8
29539.4
30170.3
29926.5
29870.2
29231.2
28671.6
27959.9
28756.5
29129.2
29459.2
30812.3
31632.7
32665.7
34715.9
35807.8
34191.9
32801.4
31553.3
31038.2
30661
30543.2
30475.3
30086.6
30076.1
30346.7
30729.8
30478.9
30347.4
30250.4
30150.8
30356.4
30237.5
30877.4
31629.8
33658.4
34915.9
35346.1
36028.9
36468.6
37472.6
38476.4
38917.5
39138.8
39764.9
40000.5
39946.6
40088.8
40413.7
40498.9
40542.2
40366.1
40123.1
40458.5
41599
42229.6
44192.4
45215.3
46296.5
47884.9
48624.2
50620.6
52787.2
53770.7
53269
54010.7
53773.1
54369.1
55255.7
56539.1
57388.5
58827.5
61548
64562.8
67249.5
68169.6
72817.5
71619
76150.3
78499
79853.3
81627.9
83800.7
86761.4
88752.4
88655.1
88161.1
87961.2
86186.6
84379.3
82810.9
80541.5
78241.7
75636.1
74027.1
71822.9
70558.5
71236.9
70815.4
70944.3
71326.2
74737.6
75084.9
77079.4
79096
81054.1
84294.9
87138
90173.4
90215.1
90848
90571.7
88140.4
85908.4
82524.8
78068.1
79829.1
78158.2
76919.3
79401.8
83185.6
80680.4
79863.9
86181.2
87364
