IIPO1978
53
55.7
62.7
60.5
58.9
61.1
61.5
58.4
62.8
62
62.2
64
56.5
60
66.5
64.4
63.8
66.1
66.5
62.8
66.3
67
67.4
68.5
61
67.4
71.8
70.6
68.1
69.3
69.5
62.3
68.3
68.2
66.7
69
61.2
65.2
71.2
68.9
65.8
69.5
70.5
64.5
71
71
70.3
71.4
62.8
66.6
73.6
70
66.4
70.4
70.6
64.4
71
68.2
69.3
69.9
61.8
66
73.4
70.5
68.1
71.7
71.8
67
74.7
73.1
74.3
75.5
67
73.7
80.3
77
75.5
79
79.4
73.4
79.5
81.2
81.2
81.1
72.2
77.4
83.7
82
79.9
81.6
83.5
75.1
81.5
82
81.6
82
72.5
77.6
84.5
81.6
78.9
81.9
83.1
73.1
82.8
81.6
79.9
82.6
72.7
77.4
86
81.8
77.6
84
85.8
76.8
86.7
87.8
87
89.3
79.5
87.2
96.4
91
85.9
92.2
92.5
84.6
94.8
93.1
94.7
96.6
86.1
90.9
105.9
95.9
91.9
99.3
97.5
90
98.7
97.9
98.3
99.8
87.3
93.7
106.8
98.7
95.3
101.9
103.8
93.9
103.1
105.4
104
105
93.4
99.6
110.2
102.1
99.2
102.4
106.4
93.6
103.7
103.5
103.1
102.4
89.9
95.3
104.4
96.1
90.3
98.3
99.9
85.7
99.5
96.8
94.3
94.3
83.5
91.4
104.2
92.6
86.5
94.4
95.8
83.6
95.6
90.6
92.1
90.5
81.3
87.1
103
90.9
85.6
95.1
95.6
87.2
97.7
94.8
97.1
95.7
84.7
93.6
108.9
96.5
90.2
98
96.4
87.9
98.5
96.9
98.2
97.5
88.1
96.7
105.6
96.1
92.4
96.4
102.1
89.3
102
102
101.8
100.5
94.1
99.4
113.4
100.2
98.5
103
106.3
92.2
106.2
103.6
99
99.6
91.5
94.9
107.9
92.9
87.7
96
97.6
83.8
98.1
95.7
93.1
93
84.2
90.8
107.3
91.1
86.9
95.9
96.9
88
100.7
96.5
98.9
97.7
88.5
97.7
111.2
96.6
93.3
103
101.2
95.5
104.5
102.9
103.2
102.4
90.6
96.7
109.4
94
90.4
94.9
94.2
85.8
92.6
92
90.3
87.2
81.1
86.9
99.7
88.1
89
92.6
97.4
86.8
97.4
97
95.2
93.3
87.5
91
103.7
90.7
90
95
97.3
85.7
101.3
100.8
97.9
98.7
92.2
97.1
112.4
98.5
93.4
103.6
103.3
93.9
105.4
99.9
102.2
100.6
93.8
98.1
113.5
98.4
94.6
103.4
100.6
95.2
106.3
102
105.7
104.1
96.1
101.4
117.1
102.4
99
108.9
106.2
101
111.7
109.6
111.2
109.4
100.3
104.5
119.4
104.7
102.8
110.1
109.6
105.4
112.6
