# 先行系列,,,,,,,,,,,
# 2000年1月から2007年10月（L1、L2は逆サイクル）,,,,,,,,,,,
L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
100.3 ,100.0 ,"718,043","895,239","8,384",-3.8 ,42.5 ,5.2 ,1.23 ,17.6 ,2.74 ,13.6 
92.9 ,94.3 ,"739,086","960,861","9,083",8.6 ,40.7 ,5.4 ,1.26 ,19.2 ,2.73 ,9.1 
89.8 ,93.6 ,"730,050","913,696","8,921",4.6 ,41.8 ,6.4 ,1.23 ,25.2 ,2.90 ,14.8 
95.3 ,94.6 ,"705,116","922,859","8,718",0.2 ,42.7 ,7.9 ,1.13 ,24.2 ,3.12 ,14.2 
94.8 ,92.7 ,"725,041","902,529","8,928",9.8 ,44.2 ,9.9 ,1.36 ,41.8 ,3.02 ,14.9 
97.1 ,93.4 ,"743,905","967,843","8,454",4.0 ,45.1 ,10.9 ,1.46 ,51.7 ,3.06 ,13.5 
97.2 ,95.5 ,"741,807","971,188","8,692",1.7 ,48.3 ,14.6 ,1.45 ,35.8 ,3.22 ,15.1 
94.9 ,91.7 ,"758,784","960,156","8,895",5.6 ,45.1 ,14.3 ,1.69 ,31.8 ,3.12 ,11.8 
94.6 ,95.8 ,"762,053","922,403","9,193",7.0 ,48.7 ,13.4 ,1.76 ,20.8 ,3.05 ,19.9 
96.4 ,96.9 ,"758,331","938,378","8,882",2.0 ,49.1 ,15.5 ,1.45 ,15.4 ,3.35 ,12.0 
100.4 ,95.2 ,"777,664","958,858","9,299",-0.3 ,46.2 ,16.5 ,1.35 ,8.1 ,3.44 ,11.5 
96.2 ,97.2 ,"792,737","955,466","8,669",-2.5 ,47.7 ,13.5 ,1.40 ,4.3 ,3.39 ,11.7 
97.3 ,95.8 ,"821,793","1,040,595","8,166",6.2 ,47.9 ,15.0 ,1.36 ,9.4 ,3.42 ,7.4 
91.7 ,96.4 ,"806,034","952,764","8,692",-1.6 ,44.3 ,14.0 ,1.34 ,9.9 ,3.43 ,12.3 
92.9 ,99.0 ,"798,049","968,378","9,595",-3.2 ,47.4 ,11.1 ,1.22 ,7.8 ,3.59 ,5.9 
98.3 ,100.6 ,"801,732","1,002,096","8,436",4.4 ,47.6 ,9.1 ,1.37 ,10.9 ,3.47 ,6.4 
96.4 ,99.4 ,"813,011","1,052,208","8,642",-0.5 ,45.3 ,8.0 ,1.24 ,4.8 ,3.65 ,7.6 
93.6 ,100.6 ,"819,673","995,040","8,240",4.7 ,47.4 ,8.4 ,1.16 ,-3.6 ,3.78 ,8.5 
96.2 ,102.0 ,"830,182","955,462","8,826",-2.1 ,48.2 ,4.7 ,1.17 ,1.8 ,3.83 ,11.0 
93.3 ,100.7 ,"837,083","1,003,518","8,786",0.6 ,46.8 ,4.7 ,1.08 ,0.1 ,3.97 ,12.0 
97.8 ,105.4 ,"830,416","1,040,170","9,460",-5.3 ,48.2 ,6.0 ,1.22 ,3.7 ,3.83 ,10.3 
95.0 ,101.3 ,"832,986","1,077,889","9,107",4.0 ,48.4 ,5.2 ,1.25 ,11.4 ,3.79 ,13.7 
97.7 ,102.8 ,"840,563","1,033,862","8,914",1.7 ,45.6 ,4.8 ,1.39 ,18.8 ,3.64 ,11.9 
95.2 ,103.2 ,"833,267","1,054,637","9,131",1.0 ,47.9 ,6.8 ,1.46 ,26.3 ,3.59 ,13.8 
98.3 ,103.6 ,"847,593","1,049,699","8,983",1.2 ,48.2 ,6.9 ,1.36 ,36.7 ,3.71 ,18.2 
98.3 ,103.2 ,"848,123","1,104,726","8,410",5.2 ,46.7 ,9.1 ,1.37 ,45.1 ,3.70 ,23.5 
96.8 ,102.8 ,"858,533","1,067,952","8,915",8.8 ,49.5 ,12.6 ,1.46 ,44.6 ,3.53 ,18.9 
97.8 ,102.9 ,"859,172","1,091,946","9,310",6.0 ,49.9 ,11.8 ,1.48 ,42.6 ,3.43 ,17.8 
97.7 ,102.6 ,"840,891","1,050,985","8,600",7.6 ,48.2 ,11.0 ,1.64 ,39.7 ,3.17 ,17.0 
97.0 ,102.8 ,"847,696","1,119,655","9,128",5.7 ,50.2 ,14.3 ,1.78 ,50.7 ,3.17 ,17.3 
93.9 ,102.4 ,"868,259","1,111,346","9,058",12.6 ,49.9 ,17.0 ,1.56 ,46.1 ,3.40 ,17.9 
94.1 ,101.8 ,"861,162","1,179,387","9,032",6.3 ,47.3 ,16.4 ,1.57 ,32.2 ,3.45 ,14.4 
96.1 ,102.5 ,"868,329","1,041,942","8,677",7.7 ,48.6 ,15.9 ,1.48 ,30.3 ,3.55 ,14.3 
94.6 ,99.3 ,"866,462","1,071,466","9,269",11.2 ,47.8 ,16.0 ,1.19 ,29.0 ,3.94 ,16.0 
95.9 ,102.4 ,"855,926","1,030,081","9,134",6.4 ,46.6 ,15.3 ,1.23 ,20.0 ,3.97 ,14.7 
97.6 ,101.2 ,"828,438","1,047,415","9,158",9.1 ,48.4 ,15.3 ,1.27 ,16.8 ,3.93 ,16.7 
97.9 ,102.7 ,"857,433","1,049,961","9,184",10.5 ,48.9 ,15.3 ,1.15 ,5.0 ,4.03 ,14.8 
98.1 ,102.6 ,"851,442","1,059,084","9,328",6.3 ,46.3 ,14.8 ,1.14 ,2.2 ,4.03 ,12.8 
94.4 ,102.2 ,"835,317","1,100,354","8,949",5.9 ,48.4 ,11.7 ,1.16 ,3.3 ,3.83 ,15.7 
94.6 ,104.2 ,"841,507","1,045,740","8,643",5.0 ,48.6 ,11.8 ,0.97 ,6.8 ,3.72 ,16.0 
95.3 ,105.8 ,"824,958","999,701","9,023",2.2 ,47.2 ,13.7 ,0.99 ,2.8 ,3.52 ,14.0 
97.0 ,104.6 ,"825,467","1,021,219","8,905",1.7 ,47.6 ,13.3 ,0.97 ,-1.7 ,3.74 ,15.1 
94.6 ,101.2 ,"821,446","1,082,475","7,965",4.6 ,47.4 ,12.7 ,1.08 ,4.1 ,3.75 ,11.7 
98.0 ,103.1 ,"819,823","971,873","9,296",6.5 ,45.2 ,14.8 ,1.14 ,15.4 ,3.76 ,16.4 
96.0 ,101.5 ,"810,645","1,134,830","6,674",1.1 ,44.6 ,15.5 ,1.03 ,13.8 ,3.70 ,15.4 
96.6 ,99.2 ,"803,800","1,050,112","5,439",10.6 ,44.1 ,12.1 ,0.76 ,0.3 ,3.77 ,11.5 
102.4 ,105.0 ,"788,794","970,331","5,637",4.9 ,44.1 ,13.7 ,0.84 ,-2.3 ,3.58 ,12.4 
99.3 ,97.7 ,"773,712","1,092,326","6,468",11.6 ,42.9 ,13.0 ,0.75 ,-1.0 ,3.58 ,8.5 
